date,season,away_team.x,away_goals,home_team,home_goals,extra_time,attendance,winner,game_status,home_odds,tie_odds,away_odds,location_lon,location_lat,label_content
15/10/2018,2018/2019,Edmonton Oilers,5,Winnipeg Jets,4,OT,15321,Edmonton Oilers,Played,1.83,4.5,3.75,-97.143754,49.89259,Winnipeg Jets vs Edmonton Oilers | Score: 4 - 5 OT | Winner is Edmonton Oilers
16/10/2018,2018/2019,St. Louis Blues,2,Montreal Cadiens,3,Normal Time,20137,Montreal Cadiens,Played,2.55,4.2,2.55,-73.56945,44.496067,Montreal Cadiens vs St. Louis Blues | Score: 3 - 2 Normal Time | Winner is Montreal Cadiens
16/10/2018,2018/2019,Boston Bruins,2,Calgary Flames,5,Normal Time,17641,Calgary Flames,Played,2.51,4.2,2.55,-114.051939,51.037398,Calgary Flames vs Boston Bruins | Score: 5 - 2 Normal Time | Winner is Calgary Flames
17/10/2018,2018/2019,Detroit Red Wings,1,Tampa Bay Lightning,3,Normal Time,19092,Tampa Bay Lightning,Played,1.55,5.35,5.3,-82.451804,27.942695,Tampa Bay Lightning vs Detroit Red Wings | Score: 3 - 1 Normal Time | Winner is Tampa Bay Lightning
17/10/2018,2018/2019,Buffalo Sabres,1,San Jose Sharks,5,Normal Time,17389,San Jose Sharks,Played,1.7,4.9,4.75,-121.901304,37.332713,San Jose Sharks vs Buffalo Sabres | Score: 5 - 1 Normal Time | Winner is San Jose Sharks
17/10/2018,2018/2019,Philadelphia Flyers,3,Columbus Blue Jackets,6,Normal Time,13492,Columbus Blue Jackets,Played,2.04,4.4,3.25,-83.006102,39.96904,Columbus Blue Jackets vs Philadelphia Flyers | Score: 6 - 3 Normal Time | Winner is Columbus Blue Jackets
17/10/2018,2018/2019,Colorado Avalanche,5,New Jersey Devils,3,Normal Time,13374,Colorado Avalanche,Played,2.13,4.33,2.96,-74.171058,40.733511,New Jersey Devils vs Colorado Avalanche | Score: 3 - 5 Normal Time | Winner is Colorado Avalanche
17/10/2018,2018/2019,Arizo Coyotes,4,Chicago Blackhawks,1,Normal Time,21210,Arizo Coyotes,Played,2.03,4.6,3.2,-87.674192,41.880666,Chicago Blackhawks vs Arizo Coyotes | Score: 1 - 4 Normal Time | Winner is Arizo Coyotes
17/10/2018,2018/2019,Pittsburgh Penguins,3,Toronto Maple Leafs,0,Normal Time,19483,Pittsburgh Penguins,Played,2.11,4.6,2.9,-79.379026,43.64341,Toronto Maple Leafs vs Pittsburgh Penguins | Score: 0 - 3 Normal Time | Winner is Pittsburgh Penguins
17/10/2018,2018/2019,Vancouver Canucks,1,Winnipeg Jets,4,Normal Time,15321,Winnipeg Jets,Played,1.64,5.6,4.85,-97.143754,49.89259,Winnipeg Jets vs Vancouver Canucks | Score: 4 - 1 Normal Time | Winner is Winnipeg Jets
17/10/2018,2018/2019,Boston Bruins,2,Edmonton Oilers,3,OT,18347,Edmonton Oilers,Played,2.67,4.5,2.3,-113.498029,53.546977,Edmonton Oilers vs Boston Bruins | Score: 3 - 2 OT | Winner is Edmonton Oilers
